"","cuid","model","rcp","period","exp_weighted","exp_simple"
"335",308,"MPI-ESM-LR","rcp85","mid",0.223839024881636,0.251042565783231
"336",308,"MPI-ESM-LR","rcp85","late",0.294157425377509,0.349574499031715
"337",309,"ACCESS1-0","rcp45","hist",0.186955869017272,0.124842725388844
"338",309,"ACCESS1-0","rcp45","early",0.214497501443853,0.163910593027997
"339",309,"ACCESS1-0","rcp45","mid",0.27099593118599,0.230354853023541
"340",309,"ACCESS1-0","rcp45","late",0.343789818281519,0.28630594982276
"341",309,"ACCESS1-0","rcp85","hist",0.186967852918145,0.124850729560289
"342",309,"ACCESS1-0","rcp85","early",0.227019765131893,0.1821152905314
"343",309,"ACCESS1-0","rcp85","mid",0.321856205400574,0.27256528981087
"344",309,"ACCESS1-0","rcp85","late",0.448696357597696,0.367651052808514
"345",309,"CanESM2","rcp45","hist",0.146550997782246,0.0891852579719175
"346",309,"CanESM2","rcp45","early",0.192572841741415,0.1403108284562
"347",309,"CanESM2","rcp45","mid",0.252000162779466,0.183606319906012
"348",309,"CanESM2","rcp45","late",0.310386134946345,0.213581300746019
"349",309,"CanESM2","rcp85","hist",0.146829036079608,0.0896563515989386
"350",309,"CanESM2","rcp85","early",0.197341975339687,0.138318243196461
"351",309,"CanESM2","rcp85","mid",0.295826532918447,0.209644811112282
"352",309,"CanESM2","rcp85","late",0.469901772157566,0.334755222046414
"353",309,"CCSM4","rcp45","hist",0.185962091321868,0.110638426550092
"354",309,"CCSM4","rcp45","early",0.252916107726685,0.157853145763122
"355",309,"CCSM4","rcp45","mid",0.290254405781993,0.189841116501572
"356",309,"CCSM4","rcp45","late",0.321238490192071,0.215578497274178
"357",309,"CCSM4","rcp85","hist",0.185950697276657,0.110725502659292
"358",309,"CCSM4","rcp85","early",0.273587254295365,0.178055956765253
"359",309,"CCSM4","rcp85","mid",0.342035053776727,0.228814155585778
"360",309,"CCSM4","rcp85","late",0.501491038326083,0.322929862837339
"361",309,"CNRM-CM5","rcp45","hist",0.155350795958475,0.105539885895786
"362",309,"CNRM-CM5","rcp45","early",0.178418934325367,0.140169874710856
"363",309,"CNRM-CM5","rcp45","mid",0.199567308791819,0.1611509457481
"364",309,"CNRM-CM5","rcp45","late",0.232676395722886,0.184427393410216
