"species","region","culabel","dat_qual","start","end","stage"
"SEL","fraser","Bowron-Early Summer",6,2022-08-18,2023-01-01,"Incubation"
"SEL","fraser","Chilko-Early Summer",4,2022-09-01,2023-01-01,"Incubation"
"SEL","fraser","Chilko-Summer",2,2022-09-10,2023-01-01,"Incubation"
"SEL","fraser","Chilliwack-Early Summer (cyclic)",6,2022-08-14,2023-01-01,"Incubation"
"SEL","fraser","Coquitlam-Early Summer",6,2022-09-05,2023-01-01,"Incubation"
"SEL","fraser","Cultus-Late",6,2022-11-09,2023-01-01,"Incubation"
"SEL","fraser","Francois-Fraser-Summer",6,2022-09-15,2023-01-01,"Incubation"
"SEL","fraser","Fraser-Early Summer",6,2022-09-05,2023-01-01,"Incubation"
"SEL","fraser","Harrison-Downstream Migrating-Late",6,2022-09-04,2023-01-01,"Incubation"
"SEL","fraser","Harrison-Upstream Migrating-Late",6,2022-09-23,2023-01-01,"Incubation"
"SEL","fraser","Kamloops-Early Summer",4,2022-08-28,2023-01-01,"Incubation"
"SEL","fraser","Kawkawa-Late",6,2022-09-05,2023-01-01,"Incubation"
"SEL","fraser","Lillooet-Harrison-Late",6,2022-09-14,2023-01-01,"Incubation"
"SEL","fraser","Momich-Early Summer",6,2022-09-05,2023-01-01,"Incubation"
"SEL","fraser","Nadina-Francois-Early Summer",6,2022-09-04,2023-01-01,"Incubation"
"SEL","fraser","Nahatlatch-Early Summer",6,2022-08-19,2023-01-01,"Incubation"
"SEL","fraser","North Barriere-Early Summer",6,2022-09-05,2023-01-01,"Incubation"
"SEL","fraser","North Barriere-Early Summer (de novo)",6,2022-08-17,2023-01-01,"Incubation"
"SEL","fraser","Pitt-Early Summer",6,2022-08-26,2023-01-01,"Incubation"
"SEL","fraser","Quesnel-Summer (cyclic)",4,2022-09-06,2023-01-01,"Incubation"
"SEL","fraser","Seton-Late (de novo)",4,2022-10-16,2023-01-01,"Incubation"
"SEL","fraser","Seton-Summer",6,2022-09-05,2023-01-01,"Incubation"
"SEL","fraser","Shuswap-Early Summer (cyclic)",4,2022-08-26,2023-01-01,"Incubation"
"SEL","fraser","Shuswap-Late (cyclic)",4,2022-10-03,2023-01-01,"Incubation"
"SEL","fraser","Takla-Trembleur-Early Stuart (cyclic)",2,2022-07-30,2023-01-01,"Incubation"
"SEL","fraser","Takla-Trembleur-Stuart-Summer (cyclic)",6,2022-09-12,2023-01-01,"Incubation"
"SEL","fraser","Taseko-Early Summer",6,2022-08-09,2023-01-01,"Incubation"
"SEL","haida gwaii","Ain-Skundale-Ian",6,2022-08-05,2023-01-01,"Incubation"
"SEL","haida gwaii","Awun",6,2022-08-11,2023-01-01,"Incubation"
"SEL","haida gwaii","Fairfax",6,2022-07-18,2023-01-01,"Incubation"
"SEL","haida gwaii","Jalun",6,2022-07-27,2023-01-01,"Incubation"
"SEL","haida gwaii","Marian/Eden",6,2022-08-16,2023-01-01,"Incubation"
"SEL","haida gwaii","Marie",6,2022-08-04,2023-01-01,"Incubation"
"SEL","haida gwaii","Mathers",6,2022-08-05,2023-01-01,"Incubation"
"SEL","haida gwaii","Mercer",6,2022-08-04,2023-01-01,"Incubation"
"SEL","haida gwaii","Skidegate",6,2022-08-11,2023-01-01,"Incubation"
"SEL","haida gwaii","Yakoun",6,2022-08-09,2023-01-01,"Incubation"
"SEL","nass","Bowser",6,2022-08-11,2023-01-01,"Incubation"
"SEL","nass","Clements",6,2022-07-15,2023-01-01,"Incubation"
"SEL","nass","Damdochax",6,2022-08-24,2023-01-01,"Incubation"
"SEL","nass","Fred Wright",6,2022-08-23,2023-01-01,"Incubation"
"SEL","nass","Kwinageese",6,2022-08-06,2023-01-01,"Incubation"
"SEL","nass","Leverson",6,2022-07-20,2023-01-01,"Incubation"
"SEL","nass","Meziadin",6,2022-07-25,2023-01-01,"Incubation"
"SEL","nass","Oweegee",6,2022-08-22,2023-01-01,"Incubation"
"SEL","skeena","Alastair",6,2022-08-25,2023-01-01,"Incubation"
